month,day,sunset,hr,mn,year,date,day_of_year,total_mins
1,1,4:39 pm,16,39,2018,2018-01-01,1,999
1,2,4:40 pm,16,40,2018,2018-01-02,2,1000
1,3,4:41 pm,16,41,2018,2018-01-03,3,1001
1,4,4:42 pm,16,42,2018,2018-01-04,4,1002
1,5,4:43 pm,16,43,2018,2018-01-05,5,1003
1,6,4:43 pm,16,43,2018,2018-01-06,6,1003
1,7,4:44 pm,16,44,2018,2018-01-07,7,1004
1,8,4:45 pm,16,45,2018,2018-01-08,8,1005
1,9,4:46 pm,16,46,2018,2018-01-09,9,1006
1,10,4:47 pm,16,47,2018,2018-01-10,10,1007
1,11,4:49 pm,16,49,2018,2018-01-11,11,1009
1,12,4:50 pm,16,50,2018,2018-01-12,12,1010
1,13,4:51 pm,16,51,2018,2018-01-13,13,1011
1,14,4:52 pm,16,52,2018,2018-01-14,14,1012
1,15,4:53 pm,16,53,2018,2018-01-15,15,1013
1,16,4:54 pm,16,54,2018,2018-01-16,16,1014
1,17,4:55 pm,16,55,2018,2018-01-17,17,1015
1,18,4:56 pm,16,56,2018,2018-01-18,18,1016
1,19,4:58 pm,16,58,2018,2018-01-19,19,1018
1,20,4:59 pm,16,59,2018,2018-01-20,20,1019
1,21,5:00 pm,17,0,2018,2018-01-21,21,1020
1,22,5:01 pm,17,1,2018,2018-01-22,22,1021
1,23,5:02 pm,17,2,2018,2018-01-23,23,1022
1,24,5:03 pm,17,3,2018,2018-01-24,24,1023
1,25,5:05 pm,17,5,2018,2018-01-25,25,1025
1,26,5:06 pm,17,6,2018,2018-01-26,26,1026
1,27,5:07 pm,17,7,2018,2018-01-27,27,1027
1,28,5:08 pm,17,8,2018,2018-01-28,28,1028
1,29,5:10 pm,17,10,2018,2018-01-29,29,1030
1,30,5:11 pm,17,11,2018,2018-01-30,30,1031
1,31,5:12 pm,17,12,2018,2018-01-31,31,1032
2,1,5:13 pm,17,13,2018,2018-02-01,32,1033
2,2,5:14 pm,17,14,2018,2018-02-02,33,1034
2,3,5:16 pm,17,16,2018,2018-02-03,34,1036
2,4,5:17 pm,17,17,2018,2018-02-04,35,1037
2,5,5:18 pm,17,18,2018,2018-02-05,36,1038
2,6,5:19 pm,17,19,2018,2018-02-06,37,1039
2,7,5:21 pm,17,21,2018,2018-02-07,38,1041
2,8,5:22 pm,17,22,2018,2018-02-08,39,1042
2,9,5:23 pm,17,23,2018,2018-02-09,40,1043
2,10,5:24 pm,17,24,2018,2018-02-10,41,1044
2,11,5:26 pm,17,26,2018,2018-02-11,42,1046
2,12,5:27 pm,17,27,2018,2018-02-12,43,1047
2,13,5:28 pm,17,28,2018,2018-02-13,44,1048
2,14,5:29 pm,17,29,2018,2018-02-14,45,1049
2,15,5:30 pm,17,30,2018,2018-02-15,46,1050
2,16,5:32 pm,17,32,2018,2018-02-16,47,1052
2,17,5:33 pm,17,33,2018,2018-02-17,48,1053
2,18,5:34 pm,17,34,2018,2018-02-18,49,1054
2,19,5:35 pm,17,35,2018,2018-02-19,50,1055
2,20,5:36 pm,17,36,2018,2018-02-20,51,1056
2,21,5:38 pm,17,38,2018,2018-02-21,52,1058
2,22,5:39 pm,17,39,2018,2018-02-22,53,1059
2,23,5:40 pm,17,40,2018,2018-02-23,54,1060
2,24,5:41 pm,17,41,2018,2018-02-24,55,1061
2,25,5:42 pm,17,42,2018,2018-02-25,56,1062
2,26,5:43 pm,17,43,2018,2018-02-26,57,1063
2,27,5:45 pm,17,45,2018,2018-02-27,58,1065
2,28,5:46 pm,17,46,2018,2018-02-28,59,1066
3,1,5:47 pm,17,47,2018,2018-03-01,60,1067
3,2,5:48 pm,17,48,2018,2018-03-02,61,1068
3,3,5:49 pm,17,49,2018,2018-03-03,62,1069
3,4,5:50 pm,17,50,2018,2018-03-04,63,1070
3,5,5:51 pm,17,51,2018,2018-03-05,64,1071
3,6,5:52 pm,17,52,2018,2018-03-06,65,1072
3,7,5:54 pm,17,54,2018,2018-03-07,66,1074
3,8,5:55 pm,17,55,2018,2018-03-08,67,1075
3,9,5:56 pm,17,56,2018,2018-03-09,68,1076
3,10,5:57 pm,17,57,2018,2018-03-10,69,1077
3,11,6:58 pm,18,58,2018,2018-03-11,70,1138
3,12,6:59 pm,18,59,2018,2018-03-12,71,1139
3,13,7:00 pm,19,0,2018,2018-03-13,72,1140
3,14,7:01 pm,19,1,2018,2018-03-14,73,1141
3,15,7:02 pm,19,2,2018,2018-03-15,74,1142
3,16,7:03 pm,19,3,2018,2018-03-16,75,1143
3,17,7:04 pm,19,4,2018,2018-03-17,76,1144
3,18,7:06 pm,19,6,2018,2018-03-18,77,1146
3,19,7:07 pm,19,7,2018,2018-03-19,78,1147
3,20,7:08 pm,19,8,2018,2018-03-20,79,1148
3,21,7:09 pm,19,9,2018,2018-03-21,80,1149
3,22,7:10 pm,19,10,2018,2018-03-22,81,1150
3,23,7:11 pm,19,11,2018,2018-03-23,82,1151
3,24,7:12 pm,19,12,2018,2018-03-24,83,1152
3,25,7:13 pm,19,13,2018,2018-03-25,84,1153
3,26,7:14 pm,19,14,2018,2018-03-26,85,1154
3,27,7:15 pm,19,15,2018,2018-03-27,86,1155
3,28,7:16 pm,19,16,2018,2018-03-28,87,1156
3,29,7:17 pm,19,17,2018,2018-03-29,88,1157
3,30,7:18 pm,19,18,2018,2018-03-30,89,1158
3,31,7:19 pm,19,19,2018,2018-03-31,90,1159
4,1,7:20 pm,19,20,2018,2018-04-01,91,1160
4,2,7:21 pm,19,21,2018,2018-04-02,92,1161
4,3,7:22 pm,19,22,2018,2018-04-03,93,1162
4,4,7:23 pm,19,23,2018,2018-04-04,94,1163
4,5,7:24 pm,19,24,2018,2018-04-05,95,1164
4,6,7:26 pm,19,26,2018,2018-04-06,96,1166
4,7,7:27 pm,19,27,2018,2018-04-07,97,1167
4,8,7:28 pm,19,28,2018,2018-04-08,98,1168
4,9,7:29 pm,19,29,2018,2018-04-09,99,1169
4,10,7:30 pm,19,30,2018,2018-04-10,100,1170
4,11,7:31 pm,19,31,2018,2018-04-11,101,1171
4,12,7:32 pm,19,32,2018,2018-04-12,102,1172
4,13,7:33 pm,19,33,2018,2018-04-13,103,1173
4,14,7:34 pm,19,34,2018,2018-04-14,104,1174
4,15,7:35 pm,19,35,2018,2018-04-15,105,1175
4,16,7:36 pm,19,36,2018,2018-04-16,106,1176
4,17,7:37 pm,19,37,2018,2018-04-17,107,1177
4,18,7:38 pm,19,38,2018,2018-04-18,108,1178
4,19,7:39 pm,19,39,2018,2018-04-19,109,1179
4,20,7:40 pm,19,40,2018,2018-04-20,110,1180
4,21,7:41 pm,19,41,2018,2018-04-21,111,1181
4,22,7:42 pm,19,42,2018,2018-04-22,112,1182
4,23,7:43 pm,19,43,2018,2018-04-23,113,1183
4,24,7:44 pm,19,44,2018,2018-04-24,114,1184
4,25,7:45 pm,19,45,2018,2018-04-25,115,1185
4,26,7:46 pm,19,46,2018,2018-04-26,116,1186
4,27,7:48 pm,19,48,2018,2018-04-27,117,1188
4,28,7:49 pm,19,49,2018,2018-04-28,118,1189
4,29,7:50 pm,19,50,2018,2018-04-29,119,1190
4,30,7:51 pm,19,51,2018,2018-04-30,120,1191
5,1,7:52 pm,19,52,2018,2018-05-01,121,1192
5,2,7:53 pm,19,53,2018,2018-05-02,122,1193
